Time,Number of Tweets,Sentiment
2020-05-27 08:13:40,27,0
2020-05-27 08:13:40,85,2
2020-05-27 08:13:40,26,1
2020-05-27 08:15:41,18,0
2020-05-27 08:15:41,105,2
2020-05-27 08:15:41,16,1
2020-05-27 08:17:42,23,0
2020-05-27 08:17:42,103,2
2020-05-27 08:17:42,22,1
2020-05-27 08:19:42,10,0
2020-05-27 08:19:42,75,2
2020-05-27 08:19:42,21,1
2020-05-27 08:21:47,22,0
2020-05-27 08:21:47,110,2
2020-05-27 08:21:47,13,1
2020-05-27 08:23:47,23,0
2020-05-27 08:23:47,82,2
2020-05-27 08:23:47,17,1
2020-05-27 08:25:47,26,0
2020-05-27 08:25:47,89,2
2020-05-27 08:25:47,19,1
2020-05-27 08:27:48,29,0
2020-05-27 08:27:48,88,2
2020-05-27 08:27:48,20,1
2020-05-27 08:29:50,24,0
2020-05-27 08:29:50,102,2
2020-05-27 08:29:50,14,1
2020-05-27 08:31:51,29,0
2020-05-27 08:31:51,99,2
2020-05-27 08:31:51,30,1
2020-05-27 08:33:51,22,0
2020-05-27 08:33:51,133,2
2020-05-27 08:33:51,30,1
2020-05-27 08:35:51,18,0
2020-05-27 08:35:51,139,2
2020-05-27 08:35:51,25,1
2020-05-27 08:37:53,26,0
2020-05-27 08:37:53,146,2
2020-05-27 08:37:53,12,1
2020-05-27 08:39:53,25,0
2020-05-27 08:39:53,121,2
2020-05-27 08:39:53,14,1
2020-05-27 08:41:55,35,0
2020-05-27 08:41:55,135,2
2020-05-27 08:41:55,28,1
2020-05-27 08:43:55,27,0
2020-05-27 08:43:55,125,2
2020-05-27 08:43:55,21,1
2020-05-27 08:45:55,25,0
2020-05-27 08:45:55,120,2
2020-05-27 08:45:55,23,1
2020-05-27 08:47:56,21,0
2020-05-27 08:47:56,150,2
2020-05-27 08:47:56,18,1
2020-05-27 08:49:56,36,0
2020-05-27 08:49:56,140,2
2020-05-27 08:49:56,17,1
2020-05-27 08:51:56,18,0
2020-05-27 08:51:56,147,2
2020-05-27 08:51:56,19,1
2020-05-27 08:53:57,26,0
2020-05-27 08:53:57,183,2
2020-05-27 08:53:57,32,1
2020-05-27 08:55:57,31,0
2020-05-27 08:55:57,176,2
2020-05-27 08:55:57,26,1
2020-05-27 08:57:58,24,0
2020-05-27 08:57:58,163,2
2020-05-27 08:57:58,31,1
2020-05-27 09:00:00,34,0
2020-05-27 09:00:00,185,2
2020-05-27 09:00:00,16,1
2020-05-27 09:02:00,25,0
2020-05-27 09:02:00,199,2
2020-05-27 09:02:00,36,1
2020-05-27 09:04:01,23,0
2020-05-27 09:04:01,160,2
2020-05-27 09:04:01,23,1
2020-05-27 09:06:02,33,0
2020-05-27 09:06:02,167,2
2020-05-27 09:06:02,31,1
2020-05-27 09:08:04,32,0
2020-05-27 09:08:04,178,2
2020-05-27 09:08:04,23,1
2020-05-27 09:10:05,26,0
2020-05-27 09:10:05,182,2
2020-05-27 09:10:05,23,1
2020-05-27 09:12:05,30,0
2020-05-27 09:12:05,151,2
2020-05-27 09:12:05,21,1
2020-05-27 09:14:05,21,0
2020-05-27 09:14:05,168,2
2020-05-27 09:14:05,29,1
2020-05-27 09:16:06,24,0
2020-05-27 09:16:06,180,2
2020-05-27 09:16:06,28,1
2020-05-27 09:18:06,18,0
